,Cities,Lat,Long,Metro_Population,Urban_area_Pop,geometry
0,Guangzhou,23.13,113.25,44294245,20800654,POINT (113.25 23.13)
1,Shanghai,31.225,121.48,35965403,24500000,POINT (121.48 31.225)
2,Chongqing,29.5585,106.549,30165500,18384000,POINT (106.549 29.5585)
3,Beijing,39.9,116.3,21500000,21500000,POINT (116.3 39.9)
4,Hangzhou,30.2,120.2,21102000,9018000,POINT (120.2 30.2)
5,Wuhan,30.5,114.2,19780644,10670000,POINT (114.2 30.5)
6,Chengdu,30.67,104.06,18000000,17677122,POINT (104.06 30.67)
7,Tianjin,39.12,117.19,16000000,15500000,POINT (117.19 39.12)
8,Xian,34.219,109.11,13569700,8627500,POINT (109.11 34.219)
9,Jinan,36.65,117.11,13000000,7067900,POINT (117.11 36.65)
10,Shenzhen,22.544,114.054,14668426,12357938,POINT (114.054 22.544)
11,Nanjing,32.08911,118.7917,12652000,8216000,POINT (118.7917 32.08911)
12,Shenyang,41.8045293,123.4277,12263612,8255921,POINT (123.4277 41.8045293)
13,Harbin,45.765,126.616,12000000,12000000,POINT (126.616 45.765)
14,Shantou,23.365,116.698,11630447,5346708,POINT (116.698 23.365)
15,Suzhou,31.298,120.622,10578700,10349090,POINT (120.622 31.298)
